City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,chinde,26.8418,88.0763,18.17,74,31,0.49,NP,1684975987
148,kapa'a,22.0752,-159.319,27.99,70,40,7.72,US,1684975775
149,terenozek,45.05,64.9833,18.38,40,4,3.72,KZ,1684975988
150,swakopmund,-22.6833,14.5333,13.32,87,6,1.34,NA,1684975988
151,owando,-0.4819,15.8999,23.07,90,77,1.09,CG,1684975989
152,west island,-12.1568,96.8225,26.99,83,75,8.23,CC,1684975989
153,luau,-10.7073,22.2247,18.46,59,2,1.92,AO,1684975990
154,lebu,-37.6167,-73.65,11.19,85,90,4.33,CL,1684975697
155,lihue,21.9789,-159.3672,27.58,70,40,7.72,US,1684975752
156,weno,7.4515,151.8468,28.11,67,100,1.4,FM,1684975991
157,road town,18.4167,-64.6167,27.02,78,20,2.57,VG,1684975991
158,fort mcmurray,56.7268,-111.381,14.77,62,100,5.66,CA,1684975676
159,saint-philippe,-21.3585,55.7679,22.77,86,100,4.04,RE,1684975992
160,uryupinsk,50.8047,42.0138,14.23,96,4,2.94,RU,1684975993
161,burutu,5.3509,5.5076,26.16,91,100,3.44,NG,1684975993
162,crane,31.3974,-102.3501,23.07,58,62,8.33,US,1684975994
163,mejit,10.2753,170.8646,27.83,78,100,6.8,MH,1684975994
164,katsuura,35.1333,140.3,19.58,61,100,2.45,JP,1684975995
165,el bolson,-41.9667,-71.5167,3.26,98,97,3.74,AR,1684975710
166,keflavik,64.0049,-22.5624,6.95,70,75,10.8,IS,1684975996
167,rawson,-43.3002,-65.1023,12.06,37,95,7.07,AR,1684975996
168,tavsanli,39.5424,29.4987,10.24,93,20,0.43,TR,1684975997
169,burang,30.25,81.1667,1.2,86,91,2.28,CN,1684975997
170,ta`u,-14.2336,-169.5144,27.01,78,86,1.48,AS,1684975998
171,mount isa,-20.7333,139.5,24.87,33,0,4.63,AU,1684975999
172,saipan,15.1355,145.701,28.56,75,100,17.04,MP,1684975999
173,xilin hot,43.9667,116.0333,10.8,77,100,10.21,CN,1684976000
